"","mx","qx","ax","lx","dx","Lx","Tx","ex"
"0",0.068287,0.064936,0.24,1e+05,6494,95092,6262160,62.62
"1-4",0.0065,0.025572,1.42,93506,2391,367853,6167068,65.95
"5-9",0.001794,0.008932,2.5,91115,814,453539,5799215,63.65
"10-14",0.001226,0.006112,2.5,90301,552,450126,5345677,59.2
"15-19",0.001765,0.008785,2.5,89749,788,446773,4895551,54.55
"20-24",0.002219,0.011036,2.5,88961,982,442346,4448778,50.01
"25-29",0.002633,0.013078,2.49,87979,1151,437013,4006432,45.54
"30-34",0.00319,0.015826,2.49,86829,1374,430699,3569418,41.11
"35-39",0.004045,0.020021,2.49,85455,1711,422981,3138720,36.73
"40-44",0.005188,0.025608,2.49,83744,2144,413334,2715739,32.43
"45-49",0.006785,0.033356,2.49,81599,2722,401153,2302405,28.22
"50-54",0.009483,0.04631,2.48,78877,3653,385183,1901252,24.1
"55-59",0.013538,0.06545,2.47,75225,4923,363675,1516069,20.15
"60-64",0.021333,0.101175,2.46,70301,7113,333408,1152394,16.39
"65-69",0.03412,0.15684,2.43,63188,9910,290462,818987,12.96
"70-74",0.05724,0.248889,2.38,53278,13260,231660,528525,9.92
"75-79",0.09373,0.374155,2.31,40018,14973,159743,296865,7.42
"80-84",0.146694,0.519761,2.2,25045,13017,88738,137122,5.48
"85-89",0.220598,0.668122,2.05,12027,8036,36428,48384,4.02
"90-94",0.313194,0.791114,1.87,3992,3158,10083,11957,3
"95-99",0.433129,0.885324,1.66,834,738,1704,1874,2.25
"100-104",0.557653,0.938472,1.47,96,90,161,170,1.77
"105-109",0.677423,0.966194,1.3,6,6,8,9,1.47
"110+",0.767184,1,1.3,0,0,0,0,1.3
