"","mx","qx","ax","lx","dx","Lx","Tx","ex"
"0",0.059596,0.056948,0.22,1e+05,5695,95557,6498321,64.98
"1-4",0.005241,0.020687,1.43,94305,1951,372210,6402764,67.89
"5-9",0.001342,0.006689,2.5,92354,618,460225,6030554,65.3
"10-14",0.000914,0.004559,2.5,91737,418,457636,5570328,60.72
"15-19",0.00131,0.006528,2.5,91318,596,455100,5112692,55.99
"20-24",0.001641,0.008174,2.5,90722,742,451754,4657592,51.34
"25-29",0.001975,0.009828,2.5,89981,884,447689,4205838,46.74
"30-34",0.002462,0.012233,2.49,89096,1090,442751,3758149,42.18
"35-39",0.003239,0.016066,2.49,88006,1414,436487,3315398,37.67
"40-44",0.004322,0.02138,2.49,86592,1851,428317,2878911,33.25
"45-49",0.005881,0.028975,2.49,84741,2455,417537,2450594,28.92
"50-54",0.00841,0.041177,2.48,82286,3388,402899,2033057,24.71
"55-59",0.012213,0.059239,2.47,78898,4674,382684,1630158,20.66
"60-64",0.019569,0.093211,2.46,74224,6918,353540,1247473,16.81
"65-69",0.031816,0.14707,2.43,67305,9899,311124,893933,13.28
"70-74",0.054212,0.237431,2.39,57407,13630,251420,582809,10.15
"75-79",0.090241,0.363141,2.31,43777,15897,176161,331388,7.57
"80-84",0.142892,0.510544,2.2,27879,14234,99611,155227,5.57
"85-89",0.216657,0.661519,2.06,13646,9027,41665,55616,4.08
"90-94",0.310021,0.787774,1.88,4619,3639,11737,13951,3.02
"95-99",0.430596,0.883862,1.67,980,866,2012,2214,2.26
"100-104",0.556331,0.938064,1.47,114,107,192,202,1.78
"105-109",0.677094,0.966138,1.3,7,7,10,10,1.47
"110+",0.767483,1,1.3,0,0,0,0,1.3
