"","mx","qx","ax","lx","dx","Lx","Tx","ex"
"0",0.072389,0.068688,0.26,1e+05,6869,94887,6207376,62.07
"1-4",0.007137,0.02803,1.41,93131,2611,365769,6112488,65.63
"5-9",0.001873,0.00932,2.5,90521,844,450491,5746719,63.49
"10-14",0.001257,0.006267,2.5,89677,562,446979,5296228,59.06
"15-19",0.001781,0.008866,2.5,89115,790,443597,4849249,54.42
"20-24",0.002235,0.011111,2.5,88325,981,439167,4405652,49.88
"25-29",0.002654,0.013181,2.49,87344,1151,433833,3966486,45.41
"30-34",0.003225,0.015994,2.49,86192,1379,427506,3532653,40.99
"35-39",0.004091,0.020247,2.49,84814,1717,419761,3105147,36.61
"40-44",0.00525,0.025906,2.49,83096,2153,410077,2685386,32.32
"45-49",0.006843,0.033638,2.49,80944,2723,397873,2275309,28.11
"50-54",0.009569,0.04672,2.48,78221,3654,381896,1877436,24
"55-59",0.013656,0.066,2.47,74567,4921,360389,1495540,20.06
"60-64",0.021612,0.102425,2.45,69645,7133,330071,1135151,16.3
"65-69",0.034557,0.158682,2.43,62512,9919,287046,805080,12.88
"70-74",0.058061,0.251965,2.38,52592,13251,228232,518034,9.85
"75-79",0.094901,0.377808,2.3,39341,14863,156618,289801,7.37
"80-84",0.148148,0.523239,2.19,24478,12808,86451,133183,5.44
"85-89",0.221952,0.670362,2.05,11670,7823,35247,46732,4
"90-94",0.314458,0.792431,1.87,3847,3048,9694,11485,2.99
"95-99",0.434107,0.885883,1.66,798,707,1629,1791,2.24
"100-104",0.55812,0.938616,1.46,91,86,153,161,1.77
"105-109",0.677495,0.966206,1.3,6,5,8,8,1.47
"110+",0.767011,1,1.3,0,0,0,0,1.3
