"","mx","qx","ax","lx","dx","Lx","Tx","ex"
"0",0.060816,0.058022,0.21,1e+05,5802,95406,6244273,62.44
"1-4",0.004332,0.01714,1.48,94198,1615,372722,6148867,65.28
"5-9",0.001437,0.007159,2.5,92583,663,461258,5776145,62.39
"10-14",0.001084,0.005408,2.5,91921,497,458359,5314887,57.82
"15-19",0.00194,0.009652,2.5,91423,882,454908,4856529,53.12
"20-24",0.002602,0.012924,2.49,90541,1170,449774,4401621,48.61
"25-29",0.002577,0.0128,2.49,89371,1144,443989,3951847,44.22
"30-34",0.002865,0.014221,2.49,88227,1255,437991,3507858,39.76
"35-39",0.003627,0.017969,2.49,86972,1563,430942,3069868,35.3
"40-44",0.004951,0.024452,2.49,85409,2088,421804,2638925,30.9
"45-49",0.00732,0.035936,2.48,83321,2994,409074,2217121,26.61
"50-54",0.011208,0.0545,2.48,80327,4378,390587,1808047,22.51
"55-59",0.017331,0.083008,2.46,75949,6304,363756,1417460,18.66
"60-64",0.027233,0.1273,2.44,69645,8866,325556,1053704,15.13
"65-69",0.042324,0.190729,2.41,60779,11592,273892,728148,11.98
"70-74",0.066376,0.282427,2.36,49187,13892,209286,454256,9.24
"75-79",0.104178,0.406007,2.28,35295,14330,137553,244970,6.94
"80-84",0.160031,0.550741,2.17,20965,11546,72150,107417,5.12
"85-89",0.240886,0.700137,2.01,9419,6594,27375,35267,3.74
"90-94",0.339734,0.817073,1.82,2824,2308,6793,7891,2.79
"95-99",0.459931,0.899707,1.62,517,465,1011,1099,2.13
"100-104",0.582877,0.945762,1.43,52,49,84,88,1.7
"105-109",0.697773,0.969464,1.28,3,3,4,4,1.43
"110+",0.781596,1,1.28,0,0,0,0,1.28
