"","mx","qx","ax","lx","dx","Lx","Tx","ex"
"0",0.056455,0.054006,0.2,1e+05,5401,95661,6349707,63.5
"1-4",0.003883,0.015382,1.49,94599,1455,374748,6254047,66.11
"5-9",0.001284,0.006398,2.5,93144,596,464230,5879298,63.12
"10-14",0.000984,0.00491,2.5,92548,454,461605,5415068,58.51
"15-19",0.001783,0.008877,2.5,92094,817,458423,4953464,53.79
"20-24",0.002357,0.011715,2.5,91276,1069,453704,4495041,49.25
"25-29",0.002312,0.011496,2.5,90207,1037,448438,4041337,44.8
"30-34",0.002568,0.012757,2.49,89170,1138,443001,3592899,40.29
"35-39",0.003268,0.016207,2.49,88033,1427,436586,3149898,35.78
"40-44",0.004504,0.02227,2.49,86606,1929,428189,2713311,31.33
"45-49",0.00676,0.033236,2.49,84677,2814,416310,2285122,26.99
"50-54",0.010501,0.051152,2.48,81863,4187,398754,1868812,22.83
"55-59",0.016483,0.07911,2.47,77675,6145,372803,1470059,18.93
"60-64",0.026136,0.122503,2.45,71530,8763,335268,1097255,15.34
"65-69",0.040985,0.185293,2.41,62768,11630,283770,761987,12.14
"70-74",0.064666,0.276265,2.37,51137,14127,218468,478217,9.35
"75-79",0.102169,0.400012,2.29,37010,14804,144901,259749,7.02
"80-84",0.157694,0.545461,2.17,22205,12112,76808,114849,5.17
"85-89",0.238828,0.697036,2.01,10093,7035,29458,38040,3.77
"90-94",0.337982,0.815464,1.83,3058,2494,7378,8583,2.81
"95-99",0.458014,0.898741,1.62,564,507,1107,1205,2.13
"100-104",0.581161,0.945295,1.43,57,54,93,97,1.7
"105-109",0.696391,0.969253,1.28,3,3,4,4,1.43
"110+",0.780564,1,1.28,0,0,0,0,1.28
