"","mx","qx","ax","lx","dx","Lx","Tx","ex"
"0",0.062657,0.059713,0.21,1e+05,5971,95302,6023663,60.24
"1-4",0.004528,0.017906,1.47,94029,1684,371863,5928361,63.05
"5-9",0.001698,0.008453,2.5,92345,781,459771,5556499,60.17
"10-14",0.00127,0.006329,2.5,91564,580,456372,5096728,55.66
"15-19",0.002337,0.011619,2.5,90985,1057,452277,4640356,51
"20-24",0.003351,0.016617,2.49,89928,1494,445893,4188079,46.57
"25-29",0.003476,0.017229,2.49,88433,1524,438347,3742187,42.32
"30-34",0.003928,0.019449,2.49,86910,1690,430309,3303840,38.01
"35-39",0.004938,0.024388,2.49,85219,2078,420880,2873530,33.72
"40-44",0.006598,0.032454,2.49,83141,2698,408923,2452650,29.5
"45-49",0.009379,0.045814,2.48,80443,3685,392929,2043727,25.41
"50-54",0.013787,0.066612,2.47,76757,5113,370858,1650798,21.51
"55-59",0.020387,0.096911,2.46,71645,6943,340570,1279940,17.87
"60-64",0.031027,0.1437,2.44,64701,9298,299662,939370,14.52
"65-69",0.046709,0.208279,2.4,55404,11539,247048,639708,11.55
"70-74",0.071288,0.299835,2.35,43864,13152,184492,392659,8.95
"75-79",0.109037,0.420267,2.27,30712,12907,118375,208167,6.78
"80-84",0.164593,0.560872,2.16,17805,9986,60673,89792,5.04
"85-89",0.242746,0.702912,2.01,7819,5496,22640,29119,3.72
"90-94",0.340419,0.817699,1.82,2323,1899,5580,6479,2.79
"95-99",0.460683,0.900083,1.62,423,381,827,899,2.12
"100-104",0.58355,0.945945,1.43,42,40,69,72,1.7
"105-109",0.698318,0.969548,1.27,2,2,3,3,1.43
"110+",0.782005,1,1.28,0,0,0,0,1.28
