"","mx","qx","ax","lx","dx","Lx","Tx","ex"
"0",0.08758,0.082385,0.28,1e+05,8239,94069,5539816,55.4
"1-4",0.007553,0.029632,1.4,91761,2719,359988,5445747,59.35
"5-9",0.002683,0.013325,2.49,89042,1186,442239,5085759,57.12
"10-14",0.001864,0.009276,2.5,87856,815,437239,4643520,52.85
"15-19",0.003181,0.015778,2.49,87041,1373,431763,4206280,48.33
"20-24",0.004724,0.023345,2.49,85668,2000,423319,3774518,44.06
"25-29",0.004984,0.024613,2.49,83668,2059,413169,3351199,40.05
"30-34",0.005603,0.027626,2.49,81608,2255,402380,2938030,36
"35-39",0.006884,0.033835,2.49,79354,2685,390019,2535650,31.95
"40-44",0.008881,0.043432,2.48,76669,3330,374959,2145631,27.99
"45-49",0.011962,0.058055,2.48,73339,4258,355945,1770673,24.14
"50-54",0.016741,0.080296,2.47,69081,5547,331346,1414727,20.48
"55-59",0.023535,0.111016,2.45,63534,7053,299693,1083381,17.05
"60-64",0.034879,0.160034,2.43,56481,9039,259152,783688,13.88
"65-69",0.051187,0.225807,2.39,47442,10713,209288,524535,11.06
"70-74",0.077168,0.32012,2.34,36729,11758,152367,315247,8.58
"75-79",0.116032,0.44019,2.26,24972,10992,94735,162880,6.52
"80-84",0.173052,0.579058,2.14,13979,8095,46777,68145,4.87
"85-89",0.250811,0.714655,1.99,5884,4205,16767,21368,3.63
"90-94",0.347393,0.823946,1.81,1679,1383,3983,4601,2.74
"95-99",0.468426,0.903877,1.6,296,267,570,618,2.09
"100-104",0.590531,0.947799,1.42,28,27,46,48,1.68
"105-109",0.704056,0.970409,1.27,1,1,2,2,1.42
"110+",0.786358,1,1.27,0,0,0,0,1.27
