"","mx","qx","ax","lx","dx","Lx","Tx","ex"
"0",0.039236,0.037988,0.16,1e+05,3799,96820,7029431,70.29
"1-4",0.002781,0.011045,1.46,96201,1063,382108,6932611,72.06
"5-9",0.000606,0.003028,2.5,95139,288,474973,6550503,68.85
"10-14",0.000413,0.002065,2.5,94851,196,473763,6075530,64.05
"15-19",0.000593,0.002959,2.5,94655,280,472573,5601767,59.18
"20-24",0.000734,0.003661,2.5,94375,346,471009,5129194,54.35
"25-29",0.000913,0.004552,2.5,94029,428,469075,4658186,49.54
"30-34",0.001225,0.006107,2.5,93601,572,466575,4189111,44.75
"35-39",0.001778,0.008849,2.5,93029,823,463086,3722536,40.01
"40-44",0.002636,0.013094,2.49,92206,1207,458006,3259450,35.35
"45-49",0.003979,0.019698,2.49,90999,1793,450498,2801444,30.79
"50-54",0.006045,0.029772,2.49,89206,2656,439359,2350945,26.35
"55-59",0.009178,0.044852,2.48,86551,3882,422974,1911586,22.09
"60-64",0.015329,0.073781,2.47,82669,6099,397900,1488612,18.01
"65-69",0.025947,0.12167,2.45,76569,9316,359053,1090712,14.24
"70-74",0.045982,0.205395,2.4,67253,13813,300410,731660,10.88
"75-79",0.079884,0.329291,2.33,53440,17597,220284,431250,8.07
"80-84",0.130848,0.480163,2.23,35842,17210,131528,210966,5.89
"85-89",0.203522,0.638543,2.08,18632,11897,58458,79437,4.26
"90-94",0.298528,0.775221,1.9,6735,5221,17489,20979,3.12
"95-99",0.420766,0.878012,1.68,1514,1329,3159,3490,2.31
"100-104",0.550339,0.93618,1.48,185,173,314,332,1.8
"105-109",0.67472,0.965734,1.3,12,11,17,17,1.48
"110+",0.767534,1,1.3,0,0,1,1,1.3
