"","mx","qx","ax","lx","dx","Lx","Tx","ex"
"0",0.042732,0.041273,0.17,1e+05,4127,96585,6877229,68.77
"1-4",0.003154,0.012514,1.46,95873,1200,380440,6780643,70.73
"5-9",0.000815,0.004068,2.5,94673,385,472401,6400203,67.6
"10-14",0.000574,0.002864,2.5,94288,270,470764,5927802,62.87
"15-19",0.000846,0.004222,2.5,94018,397,469096,5457038,58.04
"20-24",0.001057,0.005272,2.5,93621,494,466869,4987942,53.28
"25-29",0.001291,0.006435,2.5,93127,599,464137,4521072,48.55
"30-34",0.001666,0.008296,2.5,92528,768,460719,4056936,43.85
"35-39",0.002306,0.011463,2.5,91760,1052,456168,3596217,39.19
"40-44",0.003252,0.016131,2.49,90709,1463,449875,3140049,34.62
"45-49",0.0047,0.023224,2.49,89245,2073,441025,2690174,30.14
"50-54",0.006934,0.034076,2.49,87173,2971,428395,2249149,25.8
"55-59",0.010314,0.050263,2.48,84202,4232,410340,1820755,21.62
"60-64",0.016763,0.080397,2.47,79970,6429,383552,1410415,17.64
"65-69",0.027831,0.129908,2.44,73541,9554,343266,1026863,13.96
"70-74",0.048277,0.214461,2.4,63987,13723,284250,683597,10.68
"75-79",0.082441,0.33781,2.33,50264,16980,205964,399347,7.94
"80-84",0.133566,0.487179,2.22,33285,16216,121405,193383,5.81
"85-89",0.206742,0.644315,2.08,17069,10998,53196,71978,4.22
"90-94",0.301072,0.778063,1.9,6071,4724,15690,18782,3.09
"95-99",0.42301,0.879373,1.68,1347,1185,2801,3092,2.29
"100-104",0.551789,0.936641,1.47,163,152,276,291,1.79
"105-109",0.675366,0.965844,1.3,10,10,15,15,1.47
"110+",0.767627,1,1.3,0,0,0,0,1.3
