"","mx","qx","ax","lx","dx","Lx","Tx","ex"
"0",0.040096,0.038797,0.17,1e+05,3880,96761,6887322,68.87
"1-4",0.002871,0.011399,1.46,96120,1096,381699,6790560,70.65
"5-9",0.000835,0.004164,2.5,95025,396,474133,6408861,67.44
"10-14",0.000606,0.003027,2.5,94629,286,472428,5934728,62.72
"15-19",0.000921,0.004597,2.5,94342,434,470627,5462300,57.9
"20-24",0.001156,0.005763,2.5,93909,541,468190,4991672,53.15
"25-29",0.0014,0.006978,2.5,93368,651,465207,4523483,48.45
"30-34",0.001783,0.008874,2.5,92716,823,461521,4058275,43.77
"35-39",0.002433,0.012092,2.49,91893,1111,456683,3596755,39.14
"40-44",0.003385,0.016783,2.49,90782,1524,450092,3140071,34.59
"45-49",0.004849,0.023952,2.49,89259,2138,440927,2689980,30.14
"50-54",0.007094,0.034847,2.49,87121,3036,427969,2249053,25.82
"55-59",0.010493,0.05111,2.48,84085,4298,409586,1821084,21.66
"60-64",0.016829,0.080702,2.46,79787,6439,382613,1411498,17.69
"65-69",0.027769,0.129636,2.44,73348,9509,342420,1028885,14.03
"70-74",0.047773,0.212478,2.4,63840,13565,283938,686465,10.75
"75-79",0.081341,0.334159,2.33,50275,16800,206537,402526,8.01
"80-84",0.131915,0.482929,2.23,33475,16166,122550,195989,5.85
"85-89",0.205057,0.641306,2.08,17309,11100,54133,73439,4.24
"90-94",0.299183,0.775957,1.9,6209,4818,16103,19306,3.11
"95-99",0.421347,0.878365,1.68,1391,1222,2900,3203,2.3
"100-104",0.550718,0.936301,1.48,169,158,288,304,1.79
"105-109",0.674892,0.965763,1.3,11,10,15,16,1.48
"110+",0.767563,1,1.3,0,0,0,0,1.3
