"","mx","qx","ax","lx","dx","Lx","Tx","ex"
"0",0.042672,0.041194,0.16,1e+05,4119,96538,6542592,65.43
"1-4",0.00261,0.010373,1.53,95881,995,381067,6446055,67.23
"5-9",0.00097,0.004836,2.5,94886,459,473282,6064988,63.92
"10-14",0.000785,0.003916,2.5,94427,370,471211,5591706,59.22
"15-19",0.001547,0.007708,2.5,94057,725,468472,5120495,54.44
"20-24",0.00207,0.010299,2.5,93332,961,464255,4652024,49.84
"25-29",0.002053,0.01021,2.5,92371,943,459494,4187769,45.34
"30-34",0.002306,0.011461,2.5,91428,1048,454515,3728275,40.78
"35-39",0.002973,0.014756,2.49,90380,1334,448558,3273759,36.22
"40-44",0.004163,0.020598,2.49,89046,1834,440631,2825201,31.73
"45-49",0.00636,0.031302,2.49,87212,2730,429201,2384570,27.34
"50-54",0.010015,0.048841,2.48,84482,4126,412010,1955369,23.15
"55-59",0.015901,0.076428,2.47,80356,6141,386224,1543359,19.21
"60-64",0.025281,0.11874,2.45,74215,8812,348579,1157135,15.59
"65-69",0.039735,0.180185,2.42,65402,11785,296576,808556,12.36
"70-74",0.062475,0.268293,2.37,53618,14385,230257,511980,9.55
"75-79",0.098683,0.389461,2.3,39233,15280,154835,281723,7.18
"80-84",0.152522,0.533553,2.19,23953,12780,83792,126888,5.3
"85-89",0.231832,0.686251,2.03,11173,7667,33073,43095,3.86
"90-94",0.330867,0.808781,1.84,3505,2835,8569,10022,2.86
"95-99",0.450288,0.894752,1.63,670,600,1332,1454,2.17
"100-104",0.574272,0.943378,1.44,71,67,116,122,1.72
"105-109",0.690908,0.968398,1.28,4,4,6,6,1.44
"110+",0.776504,1,1.29,0,0,0,0,1.29
