"","mx","qx","ax","lx","dx","Lx","Tx","ex"
"0",0.048951,0.047054,0.18,1e+05,4705,96125,6329661,63.3
"1-4",0.003162,0.01255,1.51,95295,1196,378204,6233537,65.41
"5-9",0.001218,0.006072,2.5,94099,571,469063,5855332,62.23
"10-14",0.000959,0.004782,2.5,93527,447,466517,5386269,57.59
"15-19",0.001861,0.009261,2.5,93080,862,463242,4919751,52.86
"20-24",0.002591,0.012873,2.49,92218,1187,458116,4456510,48.33
"25-29",0.002641,0.013117,2.49,91031,1194,452162,3998394,43.92
"30-34",0.002986,0.014821,2.49,89837,1331,445847,3546232,39.47
"35-39",0.003813,0.018884,2.49,88505,1671,438335,3100385,35.03
"40-44",0.005228,0.0258,2.49,86834,2240,428545,2662050,30.66
"45-49",0.007724,0.037885,2.48,84594,3205,414905,2233505,26.4
"50-54",0.011768,0.057143,2.48,81389,4651,395203,1818600,22.34
"55-59",0.01805,0.086296,2.46,76738,6622,366886,1423397,18.55
"60-64",0.028051,0.130865,2.44,70116,9176,327104,1056511,15.07
"65-69",0.043105,0.193881,2.41,60940,11815,274103,729407,11.97
"70-74",0.066606,0.283252,2.36,49125,13915,208911,455305,9.27
"75-79",0.103378,0.403629,2.29,35210,14212,137474,246394,7
"80-84",0.157768,0.545629,2.17,20998,11457,72621,108920,5.19
"85-89",0.236114,0.692896,2.02,9541,6611,27999,36298,3.8
"90-94",0.334456,0.812182,1.83,2930,2380,7115,8299,2.83
"95-99",0.454175,0.896778,1.63,550,494,1087,1184,2.15
"100-104",0.577735,0.94435,1.44,57,54,93,97,1.71
"105-109",0.693652,0.968829,1.28,3,3,4,5,1.44
"110+",0.778529,1,1.28,0,0,0,0,1.28
